"dif"	"ontology"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"ID"	"geneID"
"upregulated"	"CC"	"spindle"	68	"68/1752"	"322/14739"	1.36488176285249e-06	4.07684248295505e-05	3.51058833282883e-05	"GO:0005819"	"MYH10/EVI5/HSPA2/HECW2/TUBG1/TMEM201/AUNIP/NEK6/MAPRE3/CDC6/PINX1/KAT2A/DDX11/CENPV/WDR62/NUDCD2/FAM161A/VRK1/SHCBP1/HSPB1/TUBGCP5/MAD2L1/MAD2L2/KATNB1/AURKA/SPIN1/AURKB/HASPIN/CEP19/SPAG5/HAUS8/BCCIP/TUBGCP4/SBDS/CAPG/CBX1/HDAC3/DSN1/KNTC1/PRPF19/KIF18B/CHAMP1/BUB1B/MZT1/ECT2/NSUN2/MICAL3/PRC1/KNSTRN/CEP128/INO80/SGO1/CEP85/HAUS6/ESPL1/SEPT6/SKA2/CDK1/CBX3/SKA3/SMC1A/SPOUT1/AKT1/NUP85/TOPBP1/PLK1/TADA3/NPM1"
"upregulated"	"CC"	"transferase complex, transferring phosphorus-containing groups"	55	"55/1752"	"251/14739"	4.32587664260668e-06	0.000114302971287338	9.84268288722653e-05	"GO:0061695"	"CCNA1/CCNJL/SOCS1/TERT/CISH/POLR1B/PKM/ACVR1C/PHKA1/POLR3H/CDK4/PFKM/KAT2A/CDK2/TAF4B/POLD1/POLA2/SOCS2/POLD2/POLE2/POLR2H/POLR3K/CDKN1A/IRS1/ZNF768/DNA2/PFKP/CCNI2/POLD3/MAD2L2/MCM3/POLR2D/CKS2/POLR2L/CKS1B/PRKAG2/BCCIP/CCNE1/TAF6L/POLR1C/POLE/POLR2E/PRIM1/PRPS1/POLA1/PEX2/TAF5L/TWISTNB/CDK1/PRIM2/POLR3E/POLR3D/CHUK/CDK6/TADA3"
"upregulated"	"CC"	"MHC class II protein complex"	8	"8/1752"	"14/14739"	6.07183243852298e-05	0.00122686731919567	0.00105646124781731	"GO:0042613"	"HLA-DQB1/HLA-DPA1/HLA-DRA/HLA-DRB5/HLA-DOA/HLA-DQA1/HLA-DRB1/HLA-DMB"
"upregulated"	"CC"	"germ cell nucleus"	7	"7/1752"	"14/14739"	0.000531764411376665	0.00794178588295149	0.0068387093636999	"GO:0043073"	"HSPA2/RAN/AURKA/TRIP13/REC8/TOPBP1/H2AFX"
"upregulated"	"CC"	"pore complex"	6	"6/1752"	"13/14739"	0.00228267455145365	0.0250468333096411	0.0215679465563752	"GO:0046930"	"TOMM40/VDAC1/BAX/PPIF/BCL2/VDAC3"
"upregulated"	"CC"	"nucleoid"	12	"12/1752"	"43/14739"	0.00344245995139194	0.0347789703912685	0.0299483358000351	"GO:0009295"	"TERT/ATAD3A/LONP1/VDAC1/TWNK/DNA2/UQCC2/SHMT2/TFAM/TOP1MT/TUFM/TRMT10C"
"upregulated"	"CC"	"outer membrane"	35	"35/1752"	"191/14739"	0.00588997327998539	0.0539521552446662	0.0464584559066918	"GO:0019867"	"WASF1/DHCR7/PMAIP1/NME1/BNIP3/TOMM40/RTN4IP1/AKAP1/VDAC1/SPART/HK2/RAB11FIP5/PGAM5/ABCB6/TOMM5/BRI3BP/SIGMAR1/CYB5B/PHB/MYO19/ACSL1/TOMM6/MTERF3/PEBP1/FUNDC2/TOMM34/BAX/SYNJ2/NUTF2/CYB5A/BCL2/AGK/HK1/VDAC3/ATP5MC3"
"upregulated"	"CC"	"exoribonuclease complex"	8	"8/1752"	"25/14739"	0.00658139665613617	0.057233158262855	0.0492837431145706	"GO:1905354"	"EXOSC5/EXOSC2/WDR74/EXOSC4/EXOSC8/MPHOSPH6/EXOSC7/KHSRP"
"upregulated"	"CC"	"ficolin-1-rich granule lumen"	24	"24/1752"	"120/14739"	0.00701862773595398	0.0602724656825048	0.0519009051000808	"GO:1904813"	"PYGL/PKM/HSP90AB1/ALDOA/ARSB/PGAM1/GPI/IMPDH1/CTSH/MIF/IDH1/IMPDH2/ALDOA/HSP90AA1/ACLY/PPIA/XRCC6/HSPA8/NME2/ILF2/PDAP1/PSMD12/GSTP1/CCT8"
"upregulated"	"CC"	"protein-DNA complex"	31	"31/1752"	"175/14739"	0.0146687807792	0.107206940375643	0.0923164031120986	"GO:0032993"	"HIST2H2AA3/HHEX/TERT/H1F0/CDC45/HIST1H1C/TONSL/DONSON/GINS2/IRF4/POLD1/HIST1H2BK/POLA2/POLD2/POLR2H/PCNA/POLD3/GINS1/MCM3/JUND/SOX12/LEF1/PRPF19/H2AFZ/SUZ12/PRIM1/POLA1/XRCC6/PRIM2/H2AFX/NPM1"
"upregulated"	"CC"	"clathrin-coated endocytic vesicle membrane"	9	"9/1752"	"34/14739"	0.015326219617887	0.110832767131457	0.0954386196703878	"GO:0030669"	"HBEGF/CD9/HLA-DQB1/HLA-DPA1/LDLR/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DRB1"
"upregulated"	"CC"	"Sm-like protein family complex"	16	"16/1752"	"76/14739"	0.0155826449281598	0.111513302767144	0.0960246321230901	"GO:0120114"	"GEMIN4/SNRPG/SNRPD1/SNRPD3/HTATSF1/SNRPA1/LSM1/SNRPC/PPIH/LSM5/SNRPB/SNRPA/PRPF4/SNRPF/SF3B3/SNRPE"
"upregulated"	"CC"	"ribonuclease P complex"	5	"5/1752"	"15/14739"	0.0254596868603475	0.166579094029131	0.143442045268324	"GO:0030677"	"RPP25/POP1/POP7/POP5/TRMT10C"
"upregulated"	"CC"	"midbody"	29	"29/1752"	"169/14739"	0.0264205245445318	0.169634582823302	0.146073141111922	"GO:0030496"	"MYH10/MAPRE3/PDXP/URB2/DDX11/RAN/SPART/SHCBP1/ENTR1/KATNB1/AURKA/AURKB/CLIC4/SPAG5/ERH/SLC2A1/CAPG/CHAMP1/ECT2/MICAL3/PRC1/SSH1/SEPT6/RAB8A/CDK1/LAP3/NAT10/PLK1/CEP55"
"upregulated"	"CC"	"ATPase complex"	18	"18/1752"	"95/14739"	0.0297894783432733	0.186048832925716	0.160207529463346	"GO:1904949"	"ATP12A/FXYD2/ATP1B1/ATP1B3/DPF3/ATAD5/RFC4/ABCB6/YEATS4/UCHL5/ATP1A1/SUZ12/INO80/SMARCB1/MBD3/RFC1/ACTL6A/RBBP7"
"upregulated"	"CC"	"site of DNA damage"	13	"13/1752"	"65/14739"	0.0402751708706064	0.2344834100687	0.201914772785734	"GO:0090734"	"AUNIP/WDR76/RBBP8/MAD2L2/ESCO2/CBX1/RFWD3/PRPF19/RAD51/CBX3/CBX5/NBN/H2AFX"
"upregulated"	"CC"	"cell division site part"	12	"12/1752"	"59/14739"	0.0424786649409695	0.245233973230639	0.211172133541131	"GO:0032155"	"MYH10/PDXP/TUBGCP5/MASTL/PLK4/TUBGCP4/MZT1/ECT2/SSH1/SEPT6/LIMA1/CEP55"
"upregulated"	"CC"	"postsynaptic cytosol"	5	"5/1752"	"17/14739"	0.0429425396577175	0.245846039540433	0.21169918673366	"GO:0099524"	"HOMER1/EIF4E/EIF4A3/NCS1/HSPA8"
"upregulated"	"CC"	"endonuclease complex"	7	"7/1752"	"31/14739"	0.0674417910452905	0.345765003344139	0.297739878770253	"GO:1905348"	"RPP25/POP1/TSEN2/POP7/POP5/TRMT10C/DHX9"
"upregulated"	"CC"	"integral component of lumenal side of endoplasmic reticulum membrane"	6	"6/1752"	"26/14739"	0.0800213213661751	0.395501063155124	0.340567834970014	"GO:0071556"	"HLA-DQB1/HLA-DPA1/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DRB1"
"upregulated"	"CC"	"lumenal side of endoplasmic reticulum membrane"	6	"6/1752"	"26/14739"	0.0800213213661751	0.395501063155124	0.340567834970014	"GO:0098553"	"HLA-DQB1/HLA-DPA1/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DRB1"
"upregulated"	"CC"	"apical dendrite"	4	"4/1752"	"15/14739"	0.0931634636219945	0.435396595294628	0.374922066276842	"GO:0097440"	"NEURL1/OSBP2/CLU/NSMF"
"upregulated"	"CC"	"vesicle lumen"	39	"39/1752"	"271/14739"	0.118409791507257	0.518137113155957	0.446170317311956	"GO:0031983"	"PYGL/ACTN1/PRSS57/PKM/HSPH1/FABP5/HSP90AB1/CPPED1/ALDOA/GLA/ARSB/FAM3C/PGAM1/GPI/IMPDH1/CTSH/PA2G4/F5/MIF/IDH1/NFKB1/CCT2/VEGFB/CLU/IMPDH2/DSN1/ALDOA/TXNDC5/ARHGAP9/HSP90AA1/ACLY/PPIA/XRCC6/HSPA8/NME2/ILF2/PSMD12/GSTP1/CCT8"
"upregulated"	"CC"	"caveola"	11	"11/1752"	"63/14739"	0.12248463008468	0.532575575115031	0.45860334515383	"GO:0005901"	"ATP1B1/LRP8/SCARB1/MYOF/PTGIS/CORO1C/ATP1B3/IRS1/SLC2A1/ATP1A1/CTNNA1"
"upregulated"	"CC"	"synaptonemal structure"	7	"7/1752"	"36/14739"	0.12823474555264	0.549963718813183	0.473576357884025	"GO:0099086"	"HSPA2/SYCP3/BRCA2/RAD51/BRCA1/REC8/PLK1"
"upregulated"	"CC"	"lateral plasma membrane"	9	"9/1752"	"51/14739"	0.145590635372028	0.591838855033036	0.509635235621797	"GO:0016328"	"GJB2/DMD/CORO1C/MYO1A/CEACAM1/ARL2/RAB13/MYO1C/DVL2"
"upregulated"	"CC"	"glial cell projection"	4	"4/1752"	"18/14739"	0.157708970124874	0.635798967058689	0.54748949588138	"GO:0097386"	"GJB2/MAPT/GLUL/EIF2S1"
"upregulated"	"CC"	"inhibitory synapse"	3	"3/1752"	"12/14739"	0.163263461431863	0.636088482154059	0.547738798698508	"GO:0060077"	"GAD1/NLGN2/IGSF9B"
"upregulated"	"CC"	"axon terminus"	14	"14/1752"	"89/14739"	0.167307702065691	0.645732535500727	0.556043338621633	"GO:0043679"	"GAD1/UNC13B/NTRK2/RAB3A/GLUL/CAD/ITSN1/NCS1/PEBP1/SYNJ2/ITGA2/SEPT6/HSPA8/HNRNPR"
"upregulated"	"CC"	"RNA cap binding complex"	3	"3/1752"	"13/14739"	0.194538666466418	0.699728083049367	0.602539159846387	"GO:0034518"	"EIF4E/LSM1/NCBP2"
"upregulated"	"CC"	"proton-transporting ATP synthase complex, coupling factor F(o)"	3	"3/1752"	"13/14739"	0.194538666466418	0.699728083049367	0.602539159846387	"GO:0045263"	"ATP5PF/ATP5MF/ATP5MC3"
"upregulated"	"CC"	"Prp19 complex"	3	"3/1752"	"14/14739"	0.227110360097562	0.753743799996537	0.649052349035554	"GO:0000974"	"PRPF19/HSPA8/U2AF2"
"upregulated"	"CC"	"endopeptidase complex"	10	"10/1752"	"65/14739"	0.239629032726229	0.780213959634689	0.671845928621306	"GO:1905369"	"PSMB5/HSPB1/RAD23A/UCHL5/PSMA3/USP14/UBE3C/PSME3/PSMD12/PSME2"
"upregulated"	"CC"	"peptidase complex"	13	"13/1752"	"88/14739"	0.243011825937059	0.783798706191359	0.674932770825931	"GO:1905368"	"PSMB5/HSPB1/RAD23A/UCHL5/PSMA3/TAF6L/USP14/UBE3C/AFG3L2/PSME3/PSMD12/PSME2/TADA3"
"upregulated"	"CC"	"cytochrome complex"	5	"5/1752"	"29/14739"	0.257443737164609	0.808878929896396	0.696529470009614	"GO:0070069"	"C15orf48/CYC1/BCS1L/UQCRQ/COX6A1"
"upregulated"	"CC"	"cell-cell contact zone"	9	"9/1752"	"59/14739"	0.263739338260696	0.808879131183475	0.696529643338869	"GO:0044291"	"ATP1B1/ACTN1/JAM3/PECAM1/YWHAH/SLC2A1/ATP1A1/AFDN/CTNNA1"
"upregulated"	"CC"	"GABA-ergic synapse"	7	"7/1752"	"45/14739"	0.2834411701823	0.865440372956622	0.745234795988081	"GO:0098982"	"SEPT11/NLGN2/C1QBP/LRFN4/PHB/IGSF9B/RPS27"
"upregulated"	"CC"	"sarcoplasmic reticulum"	8	"8/1752"	"54/14739"	0.309501720610891	0.908665307947359	0.782455991827804	"GO:0016529"	"TMEM38B/HK2/RTN2/ATP2A2/FKBP1A/CALU/CHERP/MANF"
"upregulated"	"CC"	"transcriptional repressor complex"	11	"11/1752"	"78/14739"	0.3204286197641	0.928837391468087	0.799826268298575	"GO:0017053"	"H1F0/JUN/RBBP8/DEPDC1/TFAP4/HDAC3/SUV39H1/HDGF/MBD3/CBX5/RBBP7"
"upregulated"	"CC"	"contractile ring"	2	"2/1752"	"10/14739"	0.337336807990084	0.936286562197612	0.806240784425125	"GO:0070938"	"PDXP/PRC1"
"upregulated"	"CC"	"dopaminergic synapse"	2	"2/1752"	"10/14739"	0.337336807990084	0.936286562197612	0.806240784425125	"GO:0098691"	"CHRNA5/NLGN2"
"upregulated"	"CC"	"distal axon"	30	"30/1752"	"232/14739"	0.339352771451536	0.936286562197612	0.806240784425125	"GO:0150034"	"GAD1/UNC13B/CBARP/MYH10/MAPT/NTRK2/STX3/RAC3/RAB3A/GLUL/FKBP4/HSP90AB1/GPRIN1/CAD/ITSN1/ITGA3/KATNB1/SIGMAR1/NCS1/PEBP1/CIB1/SYNJ2/HSP90AA1/ITGA2/SSH1/ZPR1/YWHAE/SEPT6/HSPA8/HNRNPR"
"upregulated"	"CC"	"DNA repair complex"	6	"6/1752"	"41/14739"	0.360121683900994	0.977879829407047	0.842056943425665	"GO:1990391"	"POLD1/MSH6/SLX4/MSH5/XRCC6/PMS1"
"upregulated"	"CC"	"photoreceptor inner segment"	5	"5/1752"	"34/14739"	0.379527744944782	0.988122964034026	0.850877355071053	"GO:0001917"	"CIB2/FAM161A/RDH11/ENO2/GNB1"
"upregulated"	"CC"	"semaphorin receptor complex"	2	"2/1752"	"11/14739"	0.382592006452767	0.988122964034026	0.850877355071053	"GO:0002116"	"PLXNA1/PLXNB2"
"upregulated"	"CC"	"dendritic spine membrane"	2	"2/1752"	"11/14739"	0.382592006452767	0.988122964034026	0.850877355071053	"GO:0032591"	"DDN/KCNC3"
"upregulated"	"CC"	"photoreceptor outer segment membrane"	2	"2/1752"	"11/14739"	0.382592006452767	0.988122964034026	0.850877355071053	"GO:0042622"	"DHRS3/GNB1"
"upregulated"	"CC"	"lamellipodium"	23	"23/1752"	"180/14739"	0.388787761011011	0.999997919250364	0.861102935139362	"GO:0030027"	"WASF1/MYH10/CDC42BPB/STX3/CORO1C/SLC39A14/RAC3/PDXP/TESC/CORO1B/CCDC88A/ITSN1/ARHGAP31/RAB13/KLHL2/CIB1/PARVB/RAB3IP/SSH1/NME2/PIP5K1A/CTNNA1/RAC1"
"upregulated"	"CC"	"cell-substrate junction"	48	"48/1752"	"386/14739"	0.391461400856648	0.999997919250364	0.861102935139362	"GO:0030055"	"WASF1/DMD/TLE2/ACTN1/FHL1/PPFIBP1/CD9/PVR/TGFB1I1/CORO1C/TRIP6/EPB41L5/ARL2/MPZL1/ALCAM/CIB2/CORO1B/ARMC5/YES1/PTK7/TPM4/PLAU/HACD3/HSPB1/ARHGAP31/HMGA1/CD151/EPB41L2/ADAM9/ITGA3/PDGFRB/SNTB1/YWHAG/PARVB/PDLIM7/ITGA2/PPIA/YWHAE/HSPA8/LAP3/RSU1/PIP5K1A/CTNNA1/LIMA1/SLC4A2/RAC1/MAP2K1/NPM1"
"upregulated"	"CC"	"cell-substrate adherens junction"	47	"47/1752"	"382/14739"	0.423233111068178	0.999997919250364	0.861102935139362	"GO:0005924"	"WASF1/TLE2/ACTN1/FHL1/PPFIBP1/CD9/PVR/TGFB1I1/CORO1C/TRIP6/EPB41L5/ARL2/MPZL1/ALCAM/CIB2/CORO1B/ARMC5/YES1/PTK7/TPM4/PLAU/HACD3/HSPB1/ARHGAP31/HMGA1/CD151/EPB41L2/ADAM9/ITGA3/PDGFRB/SNTB1/YWHAG/PARVB/PDLIM7/ITGA2/PPIA/YWHAE/HSPA8/LAP3/RSU1/PIP5K1A/CTNNA1/LIMA1/SLC4A2/RAC1/MAP2K1/NPM1"
"upregulated"	"CC"	"GATOR2 complex"	2	"2/1752"	"12/14739"	0.426457715456948	0.999997919250364	0.861102935139362	"GO:0061700"	"SEH1L/SESN3"
"upregulated"	"CC"	"perikaryon"	12	"12/1752"	"93/14739"	0.427511394981625	0.999997919250364	0.861102935139362	"GO:0043204"	"DDN/TRPM2/CPNE5/GLUL/NEURL1/KCNC3/GOT2/ENO2/FUS/ZPR1/NSMF/PPP5C"
"upregulated"	"CC"	"respiratory chain"	12	"12/1752"	"95/14739"	0.457792876851645	0.999997919250364	0.861102935139362	"GO:0070469"	"C15orf48/CYCS/CYC1/BCS1L/HIGD1A/UQCRQ/NDUFV2/SDHB/NDUFAB1/COX6A1/FOXRED1/NDUFB8"
"upregulated"	"CC"	"sarcoplasm"	8	"8/1752"	"62/14739"	0.459676611336963	0.999997919250364	0.861102935139362	"GO:0016528"	"TMEM38B/HK2/RTN2/ATP2A2/FKBP1A/CALU/CHERP/MANF"
"upregulated"	"CC"	"focal adhesion"	46	"46/1752"	"381/14739"	0.478783690739765	0.999997919250364	0.861102935139362	"GO:0005925"	"WASF1/TLE2/ACTN1/FHL1/PPFIBP1/CD9/PVR/TGFB1I1/CORO1C/TRIP6/EPB41L5/ARL2/MPZL1/ALCAM/CORO1B/ARMC5/YES1/PTK7/TPM4/PLAU/HACD3/HSPB1/ARHGAP31/HMGA1/CD151/EPB41L2/ADAM9/ITGA3/PDGFRB/SNTB1/YWHAG/PARVB/PDLIM7/ITGA2/PPIA/YWHAE/HSPA8/LAP3/RSU1/PIP5K1A/CTNNA1/LIMA1/SLC4A2/RAC1/MAP2K1/NPM1"
"upregulated"	"CC"	"integral component of organelle membrane"	23	"23/1752"	"189/14739"	0.485712507647755	0.999997919250364	0.861102935139362	"GO:0031301"	"SLC6A9/SLC25A19/TMEM201/BNIP3/SLC25A4/TOMM40/SGMS1/SYPL1/ABCB6/TMEM70/PISD/TRABD2A/TIMM17A/FUNDC2/TIMM23/PEX2/TMEM11/STX12/AGK/AFG3L2/ABCB10/TEX261/SLC35A4"
"upregulated"	"CC"	"glycoprotein complex"	2	"2/1752"	"14/14739"	0.508877224469382	0.999997919250364	0.861102935139362	"GO:0090665"	"DMD/SNTB1"
"upregulated"	"CC"	"brush border"	10	"10/1752"	"82/14739"	0.516380456547638	0.999997919250364	0.861102935139362	"GO:0005903"	"MYH10/ACTN1/MYO1A/HSP90AB1/PLS1/SLC5A6/SLC38A2/MYO1C/SLC9A3/LIMA1"
"upregulated"	"CC"	"intrinsic component of organelle membrane"	25	"25/1752"	"209/14739"	0.518856802876195	0.999997919250364	0.861102935139362	"GO:0031300"	"SLC6A9/SLC25A19/TMEM201/BNIP3/SLC25A4/TOMM40/RAB3A/SGMS1/SYPL1/ABCB6/ZDHHC9/TMEM70/PISD/TRABD2A/TIMM17A/FUNDC2/TIMM23/PEX2/TMEM11/STX12/AGK/AFG3L2/ABCB10/TEX261/SLC35A4"
"upregulated"	"CC"	"apical part of cell"	35	"35/1752"	"294/14739"	0.523608855721694	0.999997919250364	0.861102935139362	"GO:0045177"	"GJB6/ATP1B1/SHROOM1/CD9/SLC29A1/STX3/FZD6/PARD6G/HYAL2/TUBG1/BYSL/MYO1A/SLC19A1/CEACAM1/ACY3/MUC1/PFKM/HSP90AB1/IGFBP2/HOMER1/LDLR/CLIC4/PDGFRB/SLC7A5/SLC9A3/SLC2A1/MFSD4B/PEBP1/ATP1A1/CIB1/SNX10/ATP6V1A/DVL2/SLC4A2/AKR1A1"
"upregulated"	"CC"	"basal part of cell"	5	"5/1752"	"40/14739"	0.524425380475722	0.999997919250364	0.861102935139362	"GO:0045178"	"PHLDB1/MYO1A/CEACAM1/MYO1C/ITGA2"
"upregulated"	"CC"	"cell leading edge"	42	"42/1752"	"357/14739"	0.553796717282974	0.999997919250364	0.861102935139362	"GO:0031252"	"DDN/WASF1/MYH10/ACTN1/MAPT/CDC42BPB/NME1/PTPRK/STX3/TNFRSF12A/CORO1C/SLC39A14/RAC3/TUBG1/KANK1/EPB41L5/PDXP/TESC/KCNC3/CORO1B/CCDC88A/ITSN1/CXCR4/ARHGAP31/RAB13/MYO1C/KLHL2/SSX2IP/SAMSN1/CIB1/PARVB/PDLIM7/SYNJ2/PLEKHO1/RAB3IP/SSH1/NME2/PIP5K1A/CTNNA1/CDK6/LIMA1/RAC1"
